순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,도슨,키움,0.355,34,68,77,0.88,6,0.61,3.73,0.188,55.6,0.321
2,김혜성,키움,0.340,26,66,84,0.79,5,1.12,3.92,0.183,55.0,0.315
3,송성문,키움,0.336,22,64,75,0.85,3,1.07,3.76,0.172,51.6,0.309
4,고영우,키움,0.307,6,27,36,0.75,1,0.47,3.92,0.044,19.0,0.256
5,이용규,키움,0.299,5,38,34,1.12,1,1.04,3.96,0.060,22.8,0.279
6,원성준,키움,0.290,4,5,6,0.83,1,0.17,4.59,0.194,5.3,0.267
7,김건희,키움,0.279,3,14,10,1.40,0,0.27,3.92,0.074,7.9,0.242
8,이주형,키움,0.275,13,41,44,0.93,3,0.45,3.84,0.132,27.6,0.265
9,이형종,키움,0.268,7,14,21,0.67,2,0.88,3.95,0.211,14.7,0.301
10,변상권,키움,0.258,3,24,21,1.14,1,0.32,4.25,0.079,9.1,0.223
11,임병욱,키움,0.257,1,7,8,0.88,0,0.27,3.47,0.029,3.1,0.214
12,김재현,키움,0.247,7,53,41,1.29,0,0.14,3.52,0.041,14.0,0.202
13,김태진,키움,0.234,2,16,14,1.14,0,0.17,3.25,0.043,2.9,0.182
14,주성원,키움,0.233,2,12,7,1.71,0,0.29,4.21,0.093,3.7,0.216
15,이원석,키움,0.227,4,18,36,0.50,2,0.81,3.85,0.045,9.7,0.218
16,이재상,키움,0.219,2,15,14,1.07,0,0.04,3.58,0.055,4.9,0.181
17,예진원,키움,0.211,1,6,1,6.00,0,0.25,3.86,0.053,1.1,0.194
18,김동헌,키움,0.200,0,2,2,1.00,0,-,2.86,0.000,0.8,0.243
19,최주환,키움,0.199,12,53,93,0.57,2,0.38,4.04,0.093,18.0,0.19
20,박수종,키움,0.197,1,20,24,0.83,0,1.00,3.65,0.016,3.8,0.179
21,장재영,키움,0.167,2,3,1,3.00,0,0.50,3.73,0.333,1.5,0.275
22,김시앙,키움,0.143,0,3,2,1.50,0,0.00,2.43,0.000,0.0,0.1
22,김주형,키움,0.143,0,2,0,-,0,0.25,3.91,0.000,1.0,0.216
24,박성빈,키움,0.125,0,3,2,1.50,0,0.50,2.78,0.000,0.2,0.131
25,임지열,키움,0.102,1,13,16,0.81,0,0.44,4.25,0.061,1.4,0.136
26,김웅빈,키움,0.077,0,1,5,0.20,0,0.50,4.22,0.000,0.8,0.152
27,김선기,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김연주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김윤하,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,박주홍,키움,0.000,0,1,3,0.33,0,0.50,4.29,0.000,-0.2,0.064
27,박준형,키움,0.000,0,1,1,1.00,0,0.00,3.20,0.000,-0.5,0.0
27,송지후,키움,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.0
27,신준우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이승원,키움,0.000,0,2,0,-,0,0.00,3.00,0.000,-0.3,0.0
27,주승우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
