선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
노진혁,3루수,1.252,2019,NC,52,31,301,3,0,19,82,12,0.971,0,0,0,-
박민우,2루수,1.148,2019,NC,116,111,928 1/3,9,0,232,301,63,0.983,0,0,0,-
김태진,좌익수,0.666,2019,NC,50,36,311,0,0,81,3,1,1.0,0,0,0,-
노진혁,유격수,0.647,2019,NC,70,61,497,2,0,80,165,29,0.992,0,0,0,-
손시헌,유격수,0.523,2019,NC,67,35,344 1/3,4,0,54,138,31,0.98,0,0,0,-
양의지,포수,0.433,2019,NC,91,87,723 1/3,2,1,590,45,10,0.997,2,37,15,28.8
김태진,2루수,0.364,2019,NC,14,10,92,0,0,21,41,13,1.000,0,0,0,-
김태군,포수,0.294,2019,NC,15,7,71 1/3,0,0,46,4,1,1.000,0,1,3,75.0
지석훈,유격수,0.244,2019,NC,16,12,103,1,0,23,39,5,0.984,0,0,0,-
김찬형,유격수,0.22,2019,NC,58,36,340,3,0,62,106,22,0.982,0,0,0,-
김성욱,중견수,0.209,2019,NC,101,80,728 2/3,2,0,180,3,1,0.989,0,0,0,-
지석훈,3루수,0.148,2019,NC,48,21,235 2/3,4,0,19,56,6,0.949,0,0,0,-
김형준,포수,0.146,2019,NC,51,31,286 2/3,1,0,216,22,2,0.996,2,15,10,40.0
김태진,중견수,0.141,2019,NC,30,21,187,2,0,66,2,0,0.971,0,0,0,-
정범모,포수,0.14,2019,NC,25,8,103,1,0,89,5,1,0.989,0,7,4,36.4
권희동,중견수,0.104,2019,NC,3,2,11,0,0,3,0,0,1.000,0,0,0,-
나성범,중견수,0.076,2019,NC,19,18,160 1/3,0,0,44,1,0,1.000,0,0,0,-
유영준,1루수,0.066,2019,NC,2,1,8,0,0,12,1,0,1.000,0,0,0,-
이인혁,중견수,0.064,2019,NC,2,0,5,0,0,3,0,0,1.000,0,0,0,-
이명기,좌익수,0.058,2019,NC,65,45,400 2/3,0,0,97,0,0,1.0,0,0,0,-
김성욱,우익수,0.057,2019,NC,15,3,46 1/3,0,0,11,0,0,1.000,0,0,0,-
김찬형,2루수,0.055,2019,NC,8,0,14,0,0,2,8,2,1.000,0,0,0,-
이명기,중견수,0.037,2019,NC,32,24,207,1,0,61,2,1,0.984,0,0,0,-
이상호,1루수,0.035,2019,NC,38,17,181 1/3,2,0,173,17,19,0.99,0,0,0,-
김태진,우익수,0.034,2019,NC,3,1,8,0,0,3,0,0,1.000,0,0,0,-
박헌욱,우익수,0.031,2019,NC,3,1,10,0,0,4,0,0,1.000,0,0,0,-
김준완,우익수,0.024,2019,NC,3,3,26,0,0,7,0,0,1.000,0,0,0,-
박헌욱,중견수,0.01,2019,NC,3,2,15,0,0,4,0,0,1.000,0,0,0,-
김철호,2루수,0.0,2019,NC,1,0,1,0,0,0,0,0,-,0,0,0,-
윤수강,포수,-0.009,2019,NC,2,0,6,1,0,4,0,0,0.800,0,0,0,-
나성범,우익수,-0.01,2019,NC,5,5,41 1/3,0,0,5,0,0,1.000,0,0,0,-
김태진,3루수,-0.044,2019,NC,19,15,122,1,0,7,24,3,0.969,0,0,0,-
김준완,좌익수,-0.06,2019,NC,2,1,10 1/3,0,0,0,0,0,-,0,0,0,-
강진성,우익수,-0.07,2019,NC,10,2,23 2/3,1,0,8,0,0,0.889,0,0,0,-
최승민,중견수,-0.081,2019,NC,9,2,24 1/3,0,0,11,0,0,1.000,0,0,0,-
지석훈,2루수,-0.087,2019,NC,18,3,58 1/3,0,0,8,18,4,1.000,0,0,0,-
이상호,3루수,-0.088,2019,NC,22,15,130,2,0,10,28,4,0.950,0,0,0,-
김찬형,3루수,-0.096,2019,NC,11,1,18 1/3,0,0,0,1,0,1.000,0,0,0,-
김진형,1루수,-0.099,2019,NC,7,4,39,0,0,41,2,6,1.000,0,0,0,-
이인혁,우익수,-0.105,2019,NC,3,2,15,0,0,2,0,0,1.000,0,0,0,-
권희동,우익수,-0.111,2019,NC,65,57,498,3,0,101,1,0,0.971,0,0,0,-
이상호,중견수,-0.116,2019,NC,7,2,20,0,0,5,0,0,1.000,0,0,0,-
이원재,좌익수,-0.146,2019,NC,24,18,155 2/3,0,0,24,2,1,1.000,0,0,0,-
박석민,3루수,-0.166,2019,NC,65,61,475 1/3,11,0,45,77,12,0.917,0,0,0,-
강진성,좌익수,-0.207,2019,NC,21,14,112,0,0,18,0,0,1.000,0,0,0,-
스몰린스키,우익수,-0.256,2019,NC,53,52,455 2/3,3,0,135,3,1,0.979,0,0,0,-
베탄코트,1루수,-0.303,2019,NC,17,17,140,3,0,123,7,8,0.977,0,0,0,-
이상호,2루수,-0.324,2019,NC,35,19,190 2/3,1,0,50,53,16,0.99,0,0,0,-
박세혁,포수,2.67,2019,두산,135,128,1071 2/3,8,0,786,55,5,0.991,4,85,23,21.3
김재호,유격수,1.701,2019,두산,130,116,993 1/3,10,0,158,339,67,0.980,0,0,0,-
정수빈,중견수,1.037,2019,두산,121,114,1012 2/3,3,0,302,4,1,0.990,0,0,0,-
장승현,포수,0.448,2019,두산,34,8,119,0,0,69,7,1,1.000,1,5,3,37.5
류지혁,3루수,0.443,2019,두산,29,17,148,1,0,20,29,6,0.980,0,0,0,-
류지혁,2루수,0.404,2019,두산,46,28,243 2/3,2,0,66,84,14,0.987,0,0,0,-
백동훈,우익수,0.385,2019,두산,17,3,57,0,0,25,0,0,1.000,0,0,0,-
이흥련,포수,0.292,2019,두산,23,8,91,0,0,47,4,0,1.000,0,6,3,33.3
김대한,중견수,0.285,2019,두산,12,4,47,1,0,19,1,0,0.952,0,0,0,-
허경민,3루수,0.257,2019,두산,132,124,1080,8,0,86,193,18,0.972,0,0,0,-
김경호,좌익수,0.209,2019,두산,15,1,37,0,0,6,0,0,1.000,0,0,0,-
정병곤,2루수,0.2,2019,두산,13,5,50 2/3,0,0,11,18,4,1.000,0,0,0,-
박건우,우익수,0.198,2019,두산,122,113,947 1/3,3,0,233,2,1,0.987,0,0,0,-
김인태,우익수,0.139,2019,두산,9,9,70,0,0,23,0,0,1.000,0,0,0,-
김경호,우익수,0.115,2019,두산,7,0,13 1/3,0,0,5,0,0,1.000,0,0,0,-
정진호,좌익수,0.11,2019,두산,29,5,88 1/3,0,0,19,1,0,1.000,0,0,0,-
백동훈,좌익수,0.109,2019,두산,12,2,29 2/3,0,0,9,0,0,1.000,0,0,0,-
김인태,좌익수,0.106,2019,두산,16,8,90,0,0,25,0,0,1.000,0,0,0,-
정진호,중견수,0.104,2019,두산,10,9,79,0,0,18,0,0,1.000,0,0,0,-
최주환,2루수,0.1,2019,두산,68,64,474,2,0,94,168,36,0.992,0,0,0,-
신성현,중견수,0.1,2019,두산,5,1,13,0,0,4,0,0,1.000,0,0,0,-
신성현,1루수,0.088,2019,두산,14,7,66,1,0,66,6,5,0.986,0,0,0,-
